time: 7.59.30 | Traxxas: :;emote 930 
time: 17.58.59 | traxxas: wh:se 

time: 17.59.3 | traxxas: n will this server be out

time: 17.59.6 | traxxas: this week 

time: 17.59.8 | traxxas: if i can pf it

time: 17.59.12 | traxxas: k

time: 17.59.15 | traxxas: i goota go now 

time: 17.59.17 | traxxas: cya 

time: 16.23.45 | admin evs: hello 

time: 16.24.14 | traxxas: hey

time: 16.24.20 | admin evs: hey

time: 16.24.58 | admin evs: sup

time: 16.25.16 | traxxas: sorry

time: 16.25.22 | traxxas: this used to be like godzhell y

time: 16.25.24 | admin evs: its k

time: 16.25.25 | traxxas: you could pk here 

time: 16.25.30 | traxxas: in the old godzhell 

time: 16.25.34 | traxxas: so im keeping it like that 

time: 16.25.37 | admin evs: im finally admin

time: 16.25.52 | admin evs: any codes? 

time: 16.25.56 | traxxas: idk

time: 16.26.0 | traxxas: master workd 

time: 16.26.1 | traxxas: s 

time: 16.26.3 | admin evs: just useed master 

time: 16.26.5 | traxxas: but it goes to 100 

time: 16.26.22 | admin evs: lemme get armor 

time: 16.26.38 | admin evs: u admin too?

time: 16.27.2 | admin evs: how i spawn?

time: 16.27.34 | admin evs: traxxas 

time: 16.31.58 | admin evs: ok 

time: 16.33.18 | traxxas: ok 

time: 16.33.27 | admin evs: how do i spawn 

time: 16.33.31 | traxxas: give it allback

time: 16.33.42 | admin evs: how do i spawn? 

time: 16.33.43 | traxxas: use ::pickup xxxx x

time: 16.33.54 | admin evs: whats p ring code? 

time: 16.34.21 | admin evs: k

time: 16.34.36 | traxxas: thats what you get 

time: 16.34.38 | admin evs: ok 

time: 16.34.38 | traxxas: for killing me

time: 16.34.41 | admin evs: are u a admin?

time: 16.34.42 | traxxas: and stealing my st00f 

time: 16.34.44 | traxxas: no

time: 16.34.45 | traxxas: im owner

time: 16.34.49 | traxxas: do ::pickup 

time: 16.35.17 | admin evs: are u co or main?

time: 16.35.28 | traxxas: main 

time: 16.35.32 | traxxas: i created this 

time: 16.35.33 | traxxas: lol 

time: 16.35.37 | admin evs: ur mitch

time: 16.35.39 | traxxas: yea

time: 16.35.40 | traxxas: lol 

time: 16.35.41 | admin evs: ok 

time: 16.35.45 | admin evs: whats o ring code

time: 16.35.49 | admin evs: p*

time: 16.35.50 | traxxas: 773

time: 16.35.57 | traxxas: do ::pickup 0773 1 

time: 16.36.17 | traxxas: mainds 

time: 16.36.17 | admin evs: its not giving me 

time: 16.36.21 | traxxas: hmm 

time: 16.36.22 | traxxas: brb 

time: 16.36.25 | traxxas: lemme check

time: 16.36.34 | admin evs: can i see sometin 

time: 16.36.42 | admin evs: i wanna see if this works 

time: 16.36.46 | admin evs: ok? 

time: 16.37.3 | admin evs: wait 

time: 16.37.4 | traxxas: brb 

time: 16.37.56 | traxxas: there 

time: 16.37.57 | traxxas: try it 

time: 16.38.0 | admin evs: i think only owners  can do iy 

time: 16.38.3 | traxxas: try it 

time: 16.38.4 | traxxas: -.-

time: 16.38.9 | admin evs: nope 

time: 16.38.12 | admin evs: dont work 

time: 16.38.15 | admin evs: make me co

time: 16.38.17 | traxxas: are you doing 

time: 16.38.18 | admin evs: lemme check

time: 16.38.22 | traxxas:  ::pickup 0773 1 

time: 16.38.33 | admin evs: yes

time: 16.38.36 | admin evs: doesnt work 

time: 16.38.43 | traxxas: log out

time: 16.39.32 | admin evs: only owners 

time: 16.39.35 | admin evs: can spawn

time: 16.39.37 | traxxas: kk

time: 16.39.47 | admin evs: so can i stay co? 

time: 16.39.51 | traxxas: for now 

time: 16.40.10 | admin evs: owner armor code? 

time: 16.40.16 | traxxas: cant do ::bank 

time: 16.40.19 | traxxas: idk

time: 16.40.21 | traxxas: lemme check

time: 16.40.49 | admin evs: get me a ylw h ween

time: 16.40.58 | traxxas: hold on 

time: 16.41.16 | admin evs: i cant equip a white p hat 

time: 16.41.22 | traxxas: yea

time: 16.41.25 | traxxas: you need to donate 

time: 16.41.37 | admin evs: ur kiddin

time: 16.41.40 | traxxas: nope 

time: 16.41.43 | admin evs: make me a memebr

time: 16.41.44 | admin evs: ?

time: 16.41.46 | traxxas: kk

time: 16.41.47 | traxxas: log out

time: 16.42.25 | traxxas: there 

time: 16.42.27 | admin evs: kk

time: 16.42.33 | admin evs: sec

time: 16.42.51 | admin evs: ylw h ween code? 

time: 16.42.54 | admin evs: u know it? 

time: 16.42.57 | traxxas: idk

time: 16.42.59 | traxxas: i need to fix 

time: 16.43.2 | traxxas: some of the items

time: 16.43.4 | traxxas: :s 

time: 16.43.11 | traxxas: d 

time: 16.43.27 | admin evs: traxxas know about this

time: 16.43.29 | admin evs: ?

time: 16.43.30 | traxxas: no

time: 16.43.35 | admin evs: make ur name 

time: 16.43.38 | admin evs: mitch 

time: 16.43.41 | traxxas: nope 

time: 16.43.42 | admin evs: ill rank u 

time: 16.43.48 | admin evs: use that as a second acc 

time: 16.44.25 | admin evs: ill get us some stuff 

time: 16.44.26 | admin evs: k?

time: 16.50.26 | traxxas: you can do this 

time: 16.50.28 | traxxas: on godzhell 

time: 16.50.29 | admin evs: lol 

time: 16.50.30 | traxxas: :d 

time: 16.50.34 | traxxas: you drink beer 

time: 16.50.38 | traxxas: dude

time: 16.50.39 | admin evs: oh yea 

time: 16.50.42 | traxxas: i didnt use ::pnpc 

time: 16.50.46 | traxxas: you drink beer 

time: 16.50.49 | traxxas: and wear\ 

time: 16.50.52 | admin evs: i did :d 

time: 16.50.52 | traxxas: a ring of stone 

time: 16.50.57 | traxxas: and you turn into a rockcrab 

time: 16.51.26 | admin evs: grrrrrr

time: 16.51.49 | admin evs: ummm 

time: 16.51.57 | admin evs: how do i get out?

time: 16.52.22 | admin evs: mitch 

time: 16.52.28 | traxxas: what 

time: 16.52.31 | traxxas: do ::unpc 

time: 16.52.34 | admin evs: how i get out of this

time: 16.52.43 | traxxas: :wtf 

time: 16.53.3 | traxxas: dude

time: 16.53.11 | admin evs: now were even

time: 16.53.16 | admin evs: del? 

time: 16.59.26 | traxxas: lol 

time: 16.59.30 | traxxas: im a rock crab 

time: 16.59.31 | traxxas: ld

time: 16.59.32 | traxxas: :d 

time: 16.59.33 | traxxas: :d 

time: 16.59.33 | traxxas: :d 

time: 16.59.34 | traxxas: :d 

time: 16.59.35 | traxxas: :d 

time: 16.59.35 | traxxas: :d 

time: 16.59.36 | traxxas: d: 

time: 17.0.21 | admin evs: ok 

time: 17.0.25 | traxxas: k

time: 17.0.33 | admin evs: u want a p hat?

time: 17.0.36 | traxxas: no

time: 17.1.19 | admin evs: want any gear?

time: 17.1.22 | traxxas: no

time: 17.1.34 | admin evs: no

time: 17.2.31 | traxxas: hahahahahahaha

time: 17.2.37 | traxxas: oom

time: 17.2.38 | traxxas: g

time: 17.2.38 | admin evs: cmon

time: 17.2.42 | traxxas: im rofling 

time: 17.2.43 | traxxas: omg 

time: 17.2.46 | traxxas: so hard 

time: 17.2.47 | traxxas: omg 

time: 17.2.54 | traxxas: so fucking funnt 

time: 17.2.55 | traxxas: funny 

time: 17.3.2 | traxxas: omfg 

time: 17.3.2 | admin evs: dead now 

time: 17.3.7 | traxxas: you got pwned 

time: 17.3.10 | admin evs: i had 

time: 17.3.13 | admin evs: 5 health 

time: 17.3.18 | traxxas: klol 

time: 17.3.27 | admin evs: hehe

time: 17.3.38 | admin evs: genius 

time: 17.3.51 | admin evs: sit down son 

time: 17.4.5 | admin evs: hehe'

time: 17.4.14 | traxxas: om 

time: 17.4.15 | traxxas: omf 

time: 17.4.20 | traxxas: pwnned

time: 17.4.23 | admin evs: ye 

time: 17.4.31 | admin evs: lemme gt better gear 

time: 17.5.52 | admin evs: holy 

time: 17.6.31 | traxxas: ol

time: 17.6.33 | traxxas: soz

time: 17.6.37 | traxxas: meant to click trade

time: 17.6.39 | traxxas: but clicked kick 

time: 17.6.40 | traxxas: :s 

time: 17.10.21 | admin evs: admin top code? 

time: 17.10.44 | admin evs: 100 blk pl8 gs

time: 17.11.12 | admin evs: ?

time: 17.11.12 | traxxas: woops 

time: 17.11.25 | traxxas: wait 

time: 17.11.29 | admin evs: howd u get it 

time: 17.11.41 | traxxas: there 

time: 17.11.52 | traxxas: did u get  

time: 17.11.52 | admin evs: i didt get lol 

time: 17.11.54 | traxxas: oh

time: 17.11.55 | traxxas: fine 

time: 17.11.58 | traxxas: trade me 

time: 17.11.59 | traxxas: an item

time: 17.12.0 | traxxas: for it 

time: 17.12.17 | traxxas: thanks 

time: 17.12.18 | admin evs: oh

time: 17.12.19 | traxxas: for the free item

time: 17.12.25 | admin evs: u cant trade customs 

time: 17.12.26 | traxxas: its a trading scam 

time: 17.12.29 | traxxas: yea u can 

time: 17.12.32 | admin evs: lol 

time: 17.12.33 | traxxas: you can take out the item 

time: 17.12.36 | traxxas: at the last screen 

time: 17.12.42 | traxxas: so they dont get anything 

time: 17.12.45 | traxxas: ;lol 

time: 17.12.51 | admin evs: sexy

time: 17.13.28 | admin evs: lololol 

time: 17.13.30 | traxxas: ill fix the slots soon

time: 17.13.32 | admin evs: admin legs?

time: 17.13.51 | admin evs: get me

time: 17.14.4 | admin evs: an extinct

time: 17.14.27 | traxxas: oi dude 

time: 17.14.28 | traxxas: lets play 

time: 17.14.31 | traxxas: my bros

time: 17.14.33 | traxxas: server 

time: 17.14.34 | traxxas: come on 

time: 17.14.38 | admin evs: ok 

time: 17.14.49 | traxxas: open minecraft

time: 17.14.49 | admin evs: ip? 

time: 17.15.2 | traxxas: ip is 124,176,87,101 

time: 17.15.8 | admin evs: wai

time: 17.15.11 | admin evs: wait 

time: 17.15.41 | admin evs: can u get me a mith santa real quick? 

time: 17.15.45 | traxxas: on what

time: 17.15.48 | traxxas: godzhell

time: 17.15.49 | admin evs: this

time: 17.15.51 | traxxas: oh

time: 17.15.52 | traxxas: cant 

time: 17.15.53 | traxxas: soz

time: 17.16.0 | admin evs: y?

time: 17.16.8 | traxxas: havent added 

time: 17.16.9 | traxxas: every 

time: 17.16.10 | traxxas: custom yet 

time: 17.16.11 | traxxas: :s 

time: 17.16.11 | admin evs: oh

time: 17.16.13 | traxxas: soz

time: 17.16.30 | admin evs: could u gimme some of the customs real quick? 

time: 17.16.35 | traxxas: ahh 

time: 17.16.37 | traxxas: i dont have any 

time: 17.16.39 | traxxas: atm  

time: 17.16.41 | traxxas: except 

time: 17.16.43 | admin evs: ok 

time: 17.16.45 | traxxas: the skillcapes 

time: 17.17.12 | admin evs: ill do a dp every week k?

time: 17.17.15 | admin evs: lol 

time: 17.17.31 | admin evs: whats ip again 

time: 17.17.47 | traxxas: kk

time: 17.17.49 | traxxas: ip is

time: 17.18.0 | traxxas: 124,176,87,101

time: 17.19.40 | admin evs: make me op

time: 17.19.46 | admin evs: im mike and nike

time: 17.19.53 | admin evs: mike and nike

time: 17.48.27 | traxxas: cunt! 

time: 17.48.28 | traxxas: fuk 

time: 17.48.29 | traxxas: uhh 

time: 17.48.30 | traxxas: cunt 

time: 17.48.31 | traxxas: shit

time: 17.48.32 | traxxas: piss 

time: 17.48.34 | traxxas: pussu

time: 17.48.35 | traxxas: f

time: 17.48.35 | traxxas: dsfj

time: 17.48.36 | traxxas: sdg

time: 17.48.36 | traxxas: sdjg

time: 17.48.36 | traxxas: sdgjs 

time: 17.48.36 | traxxas: dgj 

time: 17.48.37 | traxxas: sdgj

time: 17.48.37 | traxxas: sdjg

time: 17.48.37 | traxxas: dsjg

time: 17.48.38 | traxxas: sdgjsdg

time: 17.48.38 | traxxas: jdsgj

time: 17.48.38 | traxxas: sdgdg 

time: 17.48.39 | traxxas: jsjgsd 

time: 17.48.39 | traxxas: gsjgd

time: 17.48.39 | traxxas: gjsd

time: 17.48.40 | traxxas: gdsj

time: 17.48.40 | traxxas: gsdjs 

time: 17.48.41 | traxxas: gsjdg

time: 17.48.41 | traxxas: sjdgsjgj 

time: 17.48.42 | traxxas: sgjs

time: 17.48.42 | traxxas: dgjsd 

time: 17.48.43 | traxxas: gjs 

time: 17.48.43 | traxxas: gjss

time: 17.48.44 | traxxas: gjsdgj

time: 17.48.44 | traxxas: sdjg

time: 17.48.44 | traxxas: dsjfg

time: 17.48.45 | traxxas: sdjfgs 

time: 17.48.45 | traxxas: djfgj 

time: 17.48.46 | traxxas: sdjg

time: 17.48.46 | traxxas: sdjgjs 

time: 17.48.47 | traxxas: dgjs

time: 17.48.47 | traxxas: fjg

time: 17.48.47 | traxxas: jj

time: 17.48.51 | admin evs: lolololl

time: 17.48.57 | admin evs: ?

time: 17.49.23 | admin evs: what happend 

time: 17.49.29 | traxxas:  nothing 

time: 17.49.31 | traxxas: join the server 

time: 17.49.43 | admin evs: im on the server

time: 17.49.50 | traxxas: dude

time: 17.49.51 | traxxas: i mena 

time: 17.49.52 | traxxas: mean 

time: 17.49.54 | traxxas: join the chat 

time: 17.50.0 | admin evs: how  

time: 17.50.11 | admin evs: hamachi? 

time: 17.50.20 | traxxas: check your facebook 

time: 17.50.22 | traxxas: i sent the link

time: 17.51.17 | admin evs: srry 

time: 17.51.43 | admin evs: misclick

time: 17.51.52 | traxxas: take off your pring 

time: 17.51.53 | traxxas: seriously

time: 17.51.54 | admin evs: promise 

time: 17.52.1 | admin evs: k

time: 17.52.4 | admin evs: its off 

time: 17.53.9 | admin evs: see 

time: 17.53.9 | traxxas: i 

time: 17.53.10 | traxxas: o 

time: 17.53.10 | traxxas: i 

time: 17.53.11 | admin evs: its off 

time: 17.53.21 | traxxas: k

time: 17.53.51 | traxxas: yew cunt 

time: 17.54.23 | admin evs: i will smoosh u 

time: 17.54.29 | traxxas: mate 

time: 17.54.31 | traxxas: fight e 

time: 17.54.32 | traxxas: me 

time: 17.55.30 | traxxas: stop 

time: 17.55.32 | admin evs: ok 

time: 17.55.37 | admin evs: u sadi fight me

time: 17.55.40 | admin evs: but

time: 17.55.41 | admin evs: ok 

time: 17.55.44 | admin evs: we ned 

time: 17.55.45 | traxxas: i didnt mean it literally 

time: 17.55.46 | admin evs: to  

time: 17.55.49 | admin evs: fix 

time: 17.55.51 | admin evs: the admin

time: 17.55.53 | admin evs: spawn 

time: 17.56.5 | traxxas: your gunna die cunt

time: 17.56.9 | traxxas: im gnna make it 

time: 17.56.13 | traxxas: so platinum membes 

time: 17.56.13 | admin evs: ill put on the p ring

time: 17.56.14 | traxxas: cant die 

time: 17.56.17 | traxxas: mate 

time: 17.56.31 | admin evs: well 

time: 17.56.33 | admin evs: spawn 

time: 17.56.37 | admin evs: need sto be safe

time: 17.56.42 | admin evs: cuz the lag'

time: 17.56.45 | admin evs: is massive

time: 17.56.53 | admin evs: almost like being ddosed]

time: 17.57.5 | traxxas: kk

time: 17.57.8 | traxxas: well 

time: 17.57.10 | traxxas: thats good 

time: 17.57.16 | traxxas: its cuz 

time: 17.57.19 | traxxas: oour internet 

time: 17.57.20 | traxxas: sucks 

time: 17.57.23 | traxxas: over at my grandmas

time: 17.57.29 | admin evs: ok 

time: 17.57.32 | admin evs: but still

time: 17.57.36 | admin evs: it needs to be safe 

time: 17.57.44 | admin evs: so u dontlose items

time: 17.58.0 | admin evs: if someone pks me imma kick them :)

time: 17.58.33 | admin evs: whats sara banner code? 

time: 17.58.39 | traxxas: 4037

time: 17.58.41 | admin evs: the oppisite gear u have

time: 17.58.52 | admin evs: hood?

time: 17.59.13 | traxxas: dropped 

time: 17.59.17 | admin evs: kk

time: 17.59.23 | admin evs: im sara

time: 17.59.25 | admin evs: ur zammy

time: 17.59.37 | admin evs: stripy?

time: 17.59.58 | admin evs: mitch 

time: 18.0.6 | traxxas: uhh 

time: 18.0.56 | traxxas: 7122

time: 18.1.1 | traxxas: wait 

time: 18.1.42 | admin evs: boots and gloves? 

time: 18.1.59 | traxxas: lemme see 

time: 18.2.46 | traxxas: cool 

time: 18.2.47 | admin evs: sexy

time: 18.2.55 | traxxas: we need

time: 18.2.56 | traxxas: ppl 

time: 18.2.57 | traxxas: to join

time: 18.3.0 | admin evs: now we need a guthix

time: 18.3.13 | traxxas: yea

time: 18.3.14 | traxxas: lol 

time: 18.3.22 | traxxas: brb having dinner 

time: 18.3.30 | admin evs: aleight

time: 18.3.50 | traxxas: reach vip

time: 18.4.24 | admin evs: ill get someone 

time: 18.4.27 | traxxas: kk

time: 18.4.30 | traxxas: shit

time: 18.4.32 | traxxas: omg 

time: 18.4.33 | traxxas: eat food 

time: 18.4.34 | traxxas: nwo

time: 18.4.35 | traxxas: now

time: 18.4.38 | traxxas: dont kill me either 

time: 18.4.49 | admin evs: kk

time: 18.12.25 | admin evs: h 

time: 18.13.54 | traxxas: back 

time: 18.13.57 | admin evs: sup

time: 18.14.2 | traxxas: omg 

time: 18.14.3 | admin evs: srry 

time: 18.14.8 | admin evs: its a misclick

time: 18.14.20 | admin evs: better 

time: 18.14.31 | traxxas: kk

time: 18.14.58 | admin evs: ok 

time: 18.15.1 | admin evs: u need to add 

time: 18.15.5 | admin evs: 3rd age druidic

time: 18.15.9 | admin evs: its bad ass

time: 18.15.15 | admin evs: same wit divine

time: 18.15.19 | traxxas: k

time: 18.15.31 | traxxas: reach

time: 18.15.33 | traxxas: to sky limit 

time: 18.15.36 | traxxas: higher 

time: 18.15.40 | traxxas: then we bring it back 

time: 18.15.44 | admin evs: do u know who fishy is? 

time: 18.15.46 | traxxas: reaching vip

time: 18.15.47 | traxxas: no

time: 18.15.52 | admin evs: well 

time: 18.15.54 | admin evs: fishy 

time: 18.15.56 | admin evs: owns 

time: 18.16.4 | admin evs: the biggest fc in all of rs 

time: 18.16.7 | traxxas: oh

time: 18.16.11 | admin evs: and had about

time: 18.16.12 | traxxas: im member on rs 

time: 18.16.15 | admin evs: 250b bank 

time: 18.16.18 | traxxas: nice 

time: 18.16.22 | traxxas: i have like 

time: 18.16.24 | admin evs: well i was in his fc

time: 18.16.28 | traxxas: 200k bank 

time: 18.16.29 | traxxas: lol 

time: 18.16.29 | admin evs: hosting

time: 18.16.36 | admin evs: i made 50b in his fc

time: 18.16.45 | admin evs: and got banned

time: 18.16.48 | traxxas: wow 

time: 18.16.51 | traxxas: lol 

time: 18.16.55 | admin evs: so did half of all fishy hosts

time: 18.17.1 | traxxas: are you rich on runescape? 

time: 18.17.4 | admin evs: on rwt accusations 

time: 18.17.5 | traxxas: i really need rsgp 

time: 18.17.7 | admin evs: nope 

time: 18.17.11 | admin evs: i got banned

time: 18.17.14 | admin evs: for doing nothing

time: 18.17.17 | traxxas: im so poor

time: 18.17.20 | traxxas: lol 

time: 18.17.21 | admin evs: i got mindfucked 

time: 18.17.25 | traxxas: lol 

time: 18.17.26 | traxxas: nice 

time: 18.17.28 | admin evs: look fishy up on u tube

time: 18.17.33 | admin evs: and starrychelex 

time: 18.17.44 | admin evs: both got banned

time: 18.17.45 | traxxas: man

time: 18.17.48 | traxxas: starrychelex 

time: 18.17.50 | admin evs: do u know who win all day is? 

time: 18.17.50 | traxxas: hes a legend 

time: 18.18.0 | traxxas: yea

time: 18.18.13 | admin evs: he made over 200k irl money off rs

time: 18.18.21 | admin evs: by rwt 

time: 18.18.36 | admin evs: srry 

time: 18.18.52 | traxxas: wow 

time: 18.18.55 | traxxas: thats alot

time: 18.18.59 | admin evs: ye ik 

time: 18.19.10 | admin evs: look fishy up 

time: 18.19.14 | admin evs: i want his outfit 

time: 18.19.19 | admin evs: in some of his vids

time: 18.19.31 | traxxas: fat wrecked 

time: 18.19.34 | traxxas: isnt dead 

time: 18.19.40 | admin evs: sowrecked?

time: 18.19.47 | traxxas: yea

time: 18.19.53 | traxxas: he isnt dead

time: 18.19.57 | admin evs: u know who sparc mac is

time: 18.20.0 | traxxas: yea

time: 18.20.4 | traxxas: ninja turtle 

time: 18.20.7 | admin evs: hes a freaking badass pker

time: 18.20.17 | traxxas: yea

time: 18.20.20 | traxxas: ninja turtle 

time: 18.20.26 | admin evs: yea lol

time: 18.20.30 | admin evs: nightmarerh 

time: 18.20.34 | admin evs: swears aton

time: 18.20.42 | traxxas: yea

time: 18.20.51 | admin evs: and saws his computor in half when he dies at pking

time: 18.20.59 | traxxas: lol 

time: 18.21.7 | admin evs: its freaking hilarious 

time: 18.21.18 | admin evs: he will cut his lapto[ in half 

time: 18.21.26 | admin evs: chris archie

time: 18.21.37 | admin evs: no1's perfect

time: 18.21.38 | traxxas: lol 

time: 18.21.41 | traxxas: tea 

time: 18.21.42 | traxxas: yea

time: 18.21.44 | admin evs: fucking badass 

time: 18.22.11 | admin evs: get ur bro

time: 18.22.14 | admin evs: to get on here 

time: 18.22.20 | admin evs: and well just pk him 

time: 18.22.28 | admin evs: lol 

time: 18.22.49 | admin evs: i love starrychelex (no homo)

time: 18.22.55 | traxxas: k

time: 18.22.58 | traxxas: hes cool 

time: 18.22.59 | admin evs: he gave me 1b

time: 18.23.19 | admin evs: cuz i was in his fx

time: 18.23.21 | admin evs: fc*

time: 18.23.26 | traxxas: cool 

time: 18.23.38 | admin evs: then i got fucking banned!!!!!!!!!!!!!!!!!!!!!! 

time: 18.23.40 | admin evs: vjklbg 

time: 18.23.40 | admin evs: fdb nb 

time: 18.23.41 | admin evs:   

time: 18.23.41 | admin evs: abmx   

time: 18.23.43 | admin evs: nhaq dn"

time: 18.23.44 | admin evs: 'gn,ng

time: 18.23.44 | admin evs: kngr

time: 18.23.45 | admin evs: nahn

time: 18.23.45 | admin evs: gf

time: 18.23.47 | admin evs: nfuck

time: 18.23.51 | admin evs: gf bank 

time: 18.24.40 | admin evs: if i tried to kick u

time: 18.24.43 | admin evs: would it work?

time: 18.24.45 | traxxas: es

time: 18.24.46 | traxxas: yes

time: 18.24.50 | admin evs: really?? 

time: 18.25.0 | admin evs: may i try?

time: 18.25.3 | traxxas: no

time: 18.25.5 | admin evs: k

time: 18.25.28 | admin evs: get ur bro on here

time: 18.25.36 | traxxas: he doesnt want to join

time: 18.25.41 | admin evs: make him 

time: 18.25.50 | admin evs: we need guthix 

time: 18.26.24 | admin evs: how old r u?

time: 18.27.32 | traxxas: 17

time: 18.27.38 | admin evs: really? 

time: 18.27.40 | traxxas: im watching skychi 

time: 18.27.40 | traxxas: yes

